1|1|2048 x 1080|18.9848
1|1|2048 x 1080|18.9777
1|1|2048 x 1080|19.0044
1|1|2048 x 1080|18.9908
1|2|2048 x 1080|18.9851
1|2|2048 x 1080|18.9715
1|2|2048 x 1080|18.9781
1|2|2048 x 1080|18.9731
1|4|2048 x 1080|19.011
1|4|2048 x 1080|19.0159
1|4|2048 x 1080|18.9821
1|4|2048 x 1080|19.0149
1|8|2048 x 1080|19.0206
1|8|2048 x 1080|19.0103
1|8|2048 x 1080|18.9946
1|8|2048 x 1080|19.0432
2|1|2048 x 1080|9.49979
2|1|2048 x 1080|9.51945
2|1|2048 x 1080|9.5222
2|1|2048 x 1080|9.51234
2|2|2048 x 1080|9.49816
2|2|2048 x 1080|9.50773
2|2|2048 x 1080|9.50175
2|2|2048 x 1080|9.48923
2|4|2048 x 1080|9.48458
2|4|2048 x 1080|9.51378
2|4|2048 x 1080|9.51375
2|4|2048 x 1080|9.50706
2|8|2048 x 1080|9.51658
2|8|2048 x 1080|9.5193
2|8|2048 x 1080|9.51563
2|8|2048 x 1080|9.51365
4|1|2048 x 1080|8.02845
4|1|2048 x 1080|8.01959
4|1|2048 x 1080|8.00047
4|1|2048 x 1080|8.113
4|2|2048 x 1080|5.36861
4|2|2048 x 1080|5.35933
4|2|2048 x 1080|5.52508
4|2|2048 x 1080|5.53053
4|4|2048 x 1080|5.60042
4|4|2048 x 1080|5.55217
4|4|2048 x 1080|5.50423
4|4|2048 x 1080|5.66713
4|8|2048 x 1080|5.29137
4|8|2048 x 1080|5.31798
4|8|2048 x 1080|5.33339
4|8|2048 x 1080|5.32119
8|1|2048 x 1080|6.17173
8|1|2048 x 1080|6.21856
8|1|2048 x 1080|5.9983
8|1|2048 x 1080|6.07682
8|2|2048 x 1080|5.29307
8|2|2048 x 1080|5.30408
8|2|2048 x 1080|5.35845
8|2|2048 x 1080|5.2774
8|4|2048 x 1080|5.32797
8|4|2048 x 1080|5.34923
8|4|2048 x 1080|5.37518
8|4|2048 x 1080|5.41939
8|8|2048 x 1080|5.30687
8|8|2048 x 1080|5.25086
8|8|2048 x 1080|5.42702
8|8|2048 x 1080|5.32512
16|1|2048 x 1080|5.51552
16|1|2048 x 1080|5.45996
16|1|2048 x 1080|5.42046
16|1|2048 x 1080|5.48528
16|2|2048 x 1080|5.29933
16|2|2048 x 1080|5.27374
16|2|2048 x 1080|5.34571
16|2|2048 x 1080|5.39629
16|4|2048 x 1080|5.31309
16|4|2048 x 1080|5.4743
16|4|2048 x 1080|5.26671
16|4|2048 x 1080|5.31192
16|8|2048 x 1080|5.27795
16|8|2048 x 1080|5.29056
16|8|2048 x 1080|5.31064
16|8|2048 x 1080|5.28964
32|1|2048 x 1080|5.43994
32|1|2048 x 1080|5.41148
32|1|2048 x 1080|5.44172
32|1|2048 x 1080|5.50529
32|2|2048 x 1080|5.45263
32|2|2048 x 1080|5.35221
32|2|2048 x 1080|5.34527
32|2|2048 x 1080|5.41253
32|4|2048 x 1080|5.29544
32|4|2048 x 1080|5.3499
32|4|2048 x 1080|5.33977
32|4|2048 x 1080|5.29254
32|8|2048 x 1080|5.4145
32|8|2048 x 1080|5.75173
32|8|2048 x 1080|5.50453
32|8|2048 x 1080|5.28688
